source,target
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,2
12,3
13,4
14,5
15,6
16,7
17,8
18,9
19,10
20,11
21,21
22,21
23,21
24,21
25,21
26,21
27,21
28,21
29,21
30,21
31,21
32,21
33,21
34,21
35,21
36,21
37,21
38,21
39,21
40,21
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,41
60,59
61,62
61,63
61,64
61,65
61,66
61,67
61,68
61,69
61,70
61,71
61,72
61,73
61,74
61,75
61,76
61,77
61,78
61,79
61,80
62,61
62,63
62,64
62,65
62,66
62,67
62,68
62,69
62,70
62,71
62,72
62,73
62,74
62,75
62,76
62,77
62,78
62,79
62,80
63,61
63,62
63,64
63,65
63,66
63,67
63,68
63,69
63,70
63,71
63,72
63,73
63,74
63,75
63,76
63,77
63,78
63,79
63,80
64,61
64,62
64,63
64,65
64,66
64,67
64,68
64,69
64,70
64,71
64,72
64,73
64,74
64,75
64,76
64,77
64,78
64,79
64,80
65,61
65,62
65,63
65,64
65,66
65,67
65,68
65,69
65,70
65,71
65,72
65,73
65,74
65,75
65,76
65,77
65,78
65,79
65,80
66,61
66,62
66,63
66,64
66,65
66,67
66,68
66,69
66,70
66,71
66,72
66,73
66,74
66,75
66,76
66,77
66,78
66,79
66,80
67,61
67,62
67,63
67,64
67,65
67,66
67,68
67,69
67,70
67,71
67,72
67,73
67,74
67,75
67,76
67,77
67,78
67,79
67,80
68,61
68,62
68,63
68,64
68,65
68,66
68,67
68,69
68,70
68,71
68,72
68,73
68,74
68,75
68,76
68,77
68,78
68,79
68,80
69,61
69,62
69,63
69,64
69,65
69,66
69,67
69,68
69,70
69,71
69,72
69,73
69,74
69,75
69,76
69,77
69,78
69,79
69,80
70,61
70,62
70,63
70,64
70,65
70,66
70,67
70,68
70,69
70,71
70,72
70,73
70,74
70,75
70,76
70,77
70,78
70,79
70,80
71,61
71,62
71,63
71,64
71,65
71,66
71,67
71,68
71,69
71,70
71,72
71,73
71,74
71,75
71,76
71,77
71,78
71,79
71,80
72,61
72,62
72,63
72,64
72,65
72,66
72,67
72,68
72,69
72,70
72,71
72,73
72,74
72,75
72,76
72,77
72,78
72,79
72,80
73,61
73,62
73,63
73,64
73,65
73,66
73,67
73,68
73,69
73,70
73,71
73,72
73,74
73,75
73,76
73,77
73,78
73,79
73,80
74,61
74,62
74,63
74,64
74,65
74,66
74,67
74,68
74,69
74,70
74,71
74,72
74,73
74,75
74,76
74,77
74,78
74,79
74,80
75,61
75,62
75,63
75,64
75,65
75,66
75,67
75,68
75,69
75,70
75,71
75,72
75,73
75,74
75,76
75,77
75,78
75,79
75,80
76,61
76,62
76,63
76,64
76,65
76,66
76,67
76,68
76,69
76,70
76,71
76,72
76,73
76,74
76,75
76,77
76,78
76,79
76,80
77,61
77,62
77,63
77,64
77,65
77,66
77,67
77,68
77,69
77,70
77,71
77,72
77,73
77,74
77,75
77,76
77,78
77,79
77,80
78,61
78,62
78,63
78,64
78,65
78,66
78,67
78,68
78,69
78,70
78,71
78,72
78,73
78,74
78,75
78,76
78,77
78,79
78,80
79,61
79,62
79,63
79,64
79,65
79,66
79,67
79,68
79,69
79,70
79,71
79,72
79,73
79,74
79,75
79,76
79,77
79,78
79,80
80,61
80,62
80,63
80,64
80,65
80,66
80,67
80,68
80,69
80,70
80,71
80,72
80,73
80,74
80,75
80,76
80,77
80,78
80,79
81,82
82,83
82,100
83,84
84,85
84,100
85,86
85,100
86,87
87,88
87,100
88,89
89,90
90,91
90,100
91,92
91,100
92,93
93,94
94,95
94,100
95,96
95,100
96,97
97,98
98,99
98,100
99,100
99,100
100,81
100,99
20,101
40,101
40,102
60,102
60,103
80,103
80,104
100,104
100,105
0,105
